"product_type","category"
"Automotive Seats","Vehicles, Parts & Accessories"
"Intake Manifolds","Vehicles, Parts & Accessories"
"Automotive Drain Pans","Vehicles, Parts & Accessories"
"Automotive Backup Alarms & Sensors","Vehicles, Parts & Accessories"
"Automotive Specialty Tools","Vehicles, Parts & Accessories"
"RV Covers","Vehicles, Parts & Accessories"
"ATV Parts","Vehicles, Parts & Accessories"
"Motorcycle Glasses","Vehicles, Parts & Accessories"
"Towing Locks","Vehicles, Parts & Accessories"
"Automotive Remote Starters","Vehicles, Parts & Accessories"
"Automotive Flex Tubes & Wire Sleeves","Vehicles, Parts & Accessories"
"Motorcycle Jackets","Vehicles, Parts & Accessories"
"Vehicle Ramps","Vehicles, Parts & Accessories"
"Motorcycle Jacks","Vehicles, Parts & Accessories"
"Motorcycles","Vehicles, Parts & Accessories"
"Vehicle Covers","Vehicles, Parts & Accessories"
"Automotive Additives","Vehicles, Parts & Accessories"
"Automotive Hitch Clips & Pins","Vehicles, Parts & Accessories"
"Automotive Keys & Remotes","Vehicles, Parts & Accessories"
"Spark Plugs","Vehicles, Parts & Accessories"
"License Plate Frames","Vehicles, Parts & Accessories"
"Towing Trailer Couplers","Vehicles, Parts & Accessories"
"Automotive Topcoating","Vehicles, Parts & Accessories"
"Automotive Dipsticks","Vehicles, Parts & Accessories"
"Vehicle Cup Holders","Vehicles, Parts & Accessories"
"Disc Brake Calipers","Vehicles, Parts & Accessories"
"Automotive Steering Wheel Mounting Hardware & Kits","Vehicles, Parts & Accessories"
"Automotive Cargo Nets","Vehicles, Parts & Accessories"
"Vehicle Switches","Vehicles, Parts & Accessories"
"Automotive Drain Plugs","Vehicles, Parts & Accessories"
"Automotive Dent Pullers","Vehicles, Parts & Accessories"
"Automotive Filter Wrenches","Vehicles, Parts & Accessories"
"Automotive Seat Cushions","Vehicles, Parts & Accessories"
"Alternator & Battery Testers","Vehicles, Parts & Accessories"
"Motorcycle Parts","Vehicles, Parts & Accessories"
"Speedometers","Vehicles, Parts & Accessories"
"Automotive Starters","Vehicles, Parts & Accessories"
"Automotive Headlight Restorer","Vehicles, Parts & Accessories"
"Vehicle Body Repair Kits","Vehicles, Parts & Accessories"
"Truck Bed Coating","Vehicles, Parts & Accessories"
"Truck Bed Extenders","Vehicles, Parts & Accessories"
"Automotive Racks","Vehicles, Parts & Accessories"
"Windshield Visors","Vehicles, Parts & Accessories"
"Automotive Dash Panels","Vehicles, Parts & Accessories"
"Automotive Custom Hoods","Vehicles, Parts & Accessories"
"Coilover Spring and Shock Assemblies","Vehicles, Parts & Accessories"
"Gear Oil","Vehicles, Parts & Accessories"
"Off-Road Helmets","Vehicles, Parts & Accessories"
"Automotive Winch Mounting Systems","Vehicles, Parts & Accessories"
"Automotive Batteries","Vehicles, Parts & Accessories"
"Automotive Cargo Boxes","Vehicles, Parts & Accessories"
"Automotive Backup Camera Systems","Vehicles, Parts & Accessories"
"Go-Karts","Vehicles, Parts & Accessories"
"Farm Tires","Vehicles, Parts & Accessories"
"Motor Oil Filters","Vehicles, Parts & Accessories"
"Automotive Engine Paint","Vehicles, Parts & Accessories"
"Automotive Reflectors","Vehicles, Parts & Accessories"
"Throttle Bodies","Vehicles, Parts & Accessories"
"Piston Connecting Rods","Vehicles, Parts & Accessories"
"Vehicle Lifts","Vehicles, Parts & Accessories"
"Side View Mirrors","Vehicles, Parts & Accessories"
"Automotive Hitch Balls","Vehicles, Parts & Accessories"
"Automotive Fuse Blocks","Vehicles, Parts & Accessories"
"RV Ladders","Vehicles, Parts & Accessories"
"Automotive Organizers","Vehicles, Parts & Accessories"
"Motorcycle Lights","Vehicles, Parts & Accessories"
"Automotive Dashboard Trim Kits","Vehicles, Parts & Accessories"
"ATV Accessories","Vehicles, Parts & Accessories"
"RV Stabilizers","Vehicles, Parts & Accessories"
"Automotive Adhesives","Vehicles, Parts & Accessories"
"Towing Tail Light Converters","Vehicles, Parts & Accessories"
"Automotive Paint Pens","Vehicles, Parts & Accessories"
"UTV Accessories","Vehicles, Parts & Accessories"
"Automotive Locking Devices","Vehicles, Parts & Accessories"
"Automotive Installable Roofs","Vehicles, Parts & Accessories"
"Battery Acid Fillers","Vehicles, Parts & Accessories"
"Automotive Part Pullers & Installers","Vehicles, Parts & Accessories"
"Automotive Bumper Covers & Guards","Vehicles, Parts & Accessories"
"Automotive Snow Chains","Vehicles, Parts & Accessories"
"Automotive Heating Parts","Vehicles, Parts & Accessories"
"Automotive Interior Thermometers","Vehicles, Parts & Accessories"
"Automotive Exterior Trim","Vehicles, Parts & Accessories"
"Automotive Winch Replacement Parts & Hardware","Vehicles, Parts & Accessories"
"Automotive Bug & Tar Remover","Vehicles, Parts & Accessories"
"Emergency Road Flares","Vehicles, Parts & Accessories"
"Automotive Steering Wheels","Vehicles, Parts & Accessories"
"Automotive Refrigerant","Vehicles, Parts & Accessories"
"Automotive Wiper Motors","Vehicles, Parts & Accessories"
